Index of pulse,TimeStamp,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
1,0,0.13432835820895522,0.26865671641791045,0.35820895522388063,0.04477611940298508,0.17910447761194032,0.23880597014925373,0.23880597014925373,0.29850746268656714,0.417910447761194,0.10714285714285714,0.10714285714285712,0.21895566392630283,-0.29035254386295617,-0.018722330590582897,-0.8241993742244569,-0.4783751037919387,-0.4783751037919387,0.23021096897083945,-0.3353676650155542,0.6737531007456709,0.3458242704325182,0.3458242704325182,-0.09766013561141888,0.13255083335942058,-1.0544103431952963,-0.3190250325639849,1.3113480855504736,1.3113480855504736,-0.054120793911086915,0.8547946230396245
2,56,0.13333333333333333,0.5333333333333333,0.8166666666666667,0.016666666666666666,0.18333333333333332,0.31666666666666665,0.43333333333333335,0.75,0.8666666666666667,0.11475409836065574,0.3442622950819672,0.272396394828722,-0.3120430625081036,-0.25244913146590986,-0.6915958407056599,0.034822533246675155,-0.3608642694726319,0.0867235365824775,-0.26281752001877906,1.4162450223974394,0.7264183739523351,0.330731571233028,-0.45227764106218066,-0.36555410447970316,-0.7783193772881374,0.26762936099627405,,,-0.023495123731747503,-4.911310169227776
3,117,0.1,0.5166666666666667,0.75,0.0,0.16666666666666666,0.3,0.4166666666666667,0.7,0.8166666666666667,0.10344827586206898,0.3620689655172415,0.3353243961374615,-0.2616641785911488,-0.24193448533374945,-0.721786759027951,0.10756871614411749,-0.2876306623475677,0.031237625073352523,-0.20276584510543133,1.4169426747522516,0.8293554751720684,0.43415609668038324,-0.5729624378978533,-0.5417248128245007,-0.7530243841013035,0.25604722247267003,,,-0.018209696349400773,3.5035328934769936
4,175,0.1320754716981132,0.6226415094339623,0.7547169811320754,0.018867924528301886,0.20754716981132074,0.3584905660377358,0.5094339622641509,0.6981132075471699,0.8490566037735849,0.11111111111111108,0.4074074074074073,0.33464172660111774,-0.4032601719393459,-0.20827920515639836,-0.7325482898925151,0.14829358013319624,-0.37810691070050106,0.2048488777154086,-0.3303148254670037,1.3989986853398857,0.8808418700257112,0.35444137919201396,-0.7075838370406188,-0.5027349593252102,-0.9373971676079237,0.25082497686139515,2.1865569238175993,2.1865569238175993,-0.022236188601368646,0.7748066513175138
5,229,0.17073170731707313,0.7560975609756095,0.9268292682926825,0.0,0.24390243902439016,0.4390243902439023,0.6341463414634144,0.8292682926829266,1.0243902439024386,0.1372549019607843,0.411764705882353,0.4548131647551799,-0.4199395976156847,-0.19232681375241226,-0.7841052311006229,0.22096523783830763,-0.4329441885933551,0.21554713568964354,-0.3753220854381794,1.0143674543412975,1.0050704689389305,0.3511610425072679,-0.787673416035219,-0.5721262803455754,-0.9996523667902665,0.01110586788264273,,,-0.01963375112668156,1.0059854636378625
6,280,0.09375000000000003,0.26562500000000006,0.32812500000000006,0.0,0.15625000000000003,0.21875000000000006,0.21875000000000006,0.29687500000000006,0.4062500000000001,0.11111111111111119,0.1296296296296297,0.3245858326561781,-0.028608202757310026,0.016122933078582063,-0.6990784948094149,-0.4513721700516161,-0.4513721700516161,0.06842823821756842,-0.292947176498497,1.0104982867295238,0.24770632475779872,0.24770632475779872,0.13523760707624896,0.20366584529381737,-0.7675067330269832,0.010211954056778359,2.926419065307183,2.926419065307183,-0.01863388868093901,-0.14298229614079971
7,334,0.14893617021276598,0.74468085106383,0.8936170212765958,0.0,0.21276595744680854,0.3829787234042554,0.5319148936170214,0.8510638297872342,1.021276595744681,0.12280701754385963,0.43859649122807015,0.3250215603388457,-0.23214915544921294,-0.21585978048194296,-0.6328014498773502,0.03768645537028089,-0.23927712086413727,0.030560009789526162,-0.26712353837877295,1.6218700505644106,0.670487905247631,0.3935243290132129,-0.4617707941730199,-0.43121078438349375,-0.6633614596668763,0.3196512183830426,2.8933535436053925,2.8933535436053925,-0.014771618584605474,0.26229409814497356
8,391,0.09999999999999998,0.25714285714285706,0.31428571428571417,0.014285714285714282,0.14285714285714282,0.19999999999999996,0.19999999999999996,0.27142857142857135,0.37142857142857133,0.10714285714285712,0.14285714285714282,0.3486095836101878,-0.05066949969526467,-0.0022416728377067418,-0.6512616901495197,-0.5281649214864897,-0.5281649214864897,0.06314885874443041,-0.2781832721296504,0.976219934383864,0.12309676866302997,0.12309676866302997,0.3419192940790294,0.40506815282345976,-0.7144105488939502,-0.02281025807748551,3.1647721504034014,3.1647721504034014,-0.022933858594795825,1.2818839419575494
9,447,0.1159420289855073,0.5072463768115945,0.5652173913043481,0.014492753623188413,0.15942028985507253,0.2753623188405798,0.40579710144927555,0.5217391304347828,0.6376811594202901,0.08641975308641972,0.29629629629629617,0.15474092818341645,-0.23801696104584608,-0.17810993209878292,-0.6290551077603805,0.12901499845028702,-0.47319852284600383,0.07773575839426962,-0.5527967007562048,2.0286303464618958,0.7580701062106675,0.15585658491437662,-0.3626073417589333,-0.28487158336466367,-0.7067908661546501,0.3846622742778856,2.4710510712071554,2.4710510712071554,-0.026187457294434408,-0.025793089865320584
10,528,0.08602150537634405,0.27956989247311814,0.3978494623655912,0.010752688172043006,0.12903225806451607,0.2365591397849461,0.2365591397849461,0.3333333333333332,0.3978494623655912,0.07368421052631585,0.1473684210526317,0.2042719343915098,-0.3395338145256899,-0.1745445295367346,-0.7056997474996654,-0.19830166117795747,-0.19830166117795747,0.12877959691647084,0.05260704392698533,0.8891182313610866,0.5073980863217078,0.5073980863217078,-0.4378760220602212,-0.30909642514375035,-0.8344793444161361,-0.10876742643609168,1.004522098473158,1.004522098473158,-0.1112869055245451,0.7279308791256971
11,623,0.5545454545454549,0.6363636363636368,0.5909090909090913,0.009090909090909097,0.10000000000000006,0.17272727272727284,0.23636363636363653,0.5090909090909095,0.5909090909090913,0.5172413793103448,0.5086206896551724,0.15438181543301338,-0.2025955500903816,0.6065083192884115,-0.8664068192254204,0.013733737217565578,-0.4231373702632667,1.5781947308238293,-1.3125195337439264,0.9568464081189918,0.8801405564429859,0.44326944896215364,-2.035197917003549,-0.45700318617971925,-2.4446015500492497,-0.04296309031513018,0.17085391005049377,0.17085391005049377,-0.006271130011355798,-0.10596687729539217
12,739,0.04132231404958676,0.10743801652892558,0.16528925619834703,-0.008264462809917352,0.06611570247933882,0.09917355371900823,0.09917355371900823,0.13223140495867763,0.1900826446280991,0.050420168067226864,0.04201680672268906,0.22620910803844033,-0.4287074455437487,-0.06707591083039242,-0.6326009271816158,-0.35586900194157245,-0.35586900194157245,0.20499801443900018,-0.10461363519222447,0.3933461148628728,0.27673192524004336,0.27673192524004336,-0.1258609377374711,0.07913707670152909,-0.837598941620616,-0.5616686238233267,2.2612242688773905,2.2612242688773905,-0.024240658707799196,5.672094305654873
13,858,0.0793650793650793,0.22222222222222207,0.3333333333333331,-0.01587301587301586,0.1269841269841269,0.19047619047619035,0.19047619047619035,0.26984126984126966,0.3968253968253966,0.10169491525423736,0.10169491525423738,0.487813721724015,-0.16857805915886015,0.06835882111290438,-0.9736448407551241,-0.7199927039816045,-0.7199927039816045,0.2782047972551662,-0.18070154071743447,0.593365946805317,0.2536521367735196,0.2536521367735196,0.1881357699529187,0.46634056720808487,-1.2518496380102904,-0.40663405319468304,5.67458679116312,5.67458679116312,-0.013179594391276543,1.5402732171156486
14,917,0.10666666666666666,0.2533333333333333,0.33333333333333337,0.0,0.14666666666666667,0.21333333333333332,0.21333333333333332,0.26666666666666666,0.36,0.09756097560975618,0.09756097560975618,0.3064015386199903,-0.1526573109102396,-0.018305398800134192,-0.8021235072503338,-0.5086153542742121,-0.5086153542742121,0.12738005248561296,-0.11401390543582014,0.7618304837656187,0.2935081529761217,0.2935081529761217,0.08772714881247748,0.21510720129809044,-0.9295035597359468,-0.23816951623438132,3.3984635727299106,3.3984635727299106,-0.009111601506325655,2.521513700058529
