Index of pulse,TimeStamp,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
1,0,0.15,0.3,0.4,0.05,0.2,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.38333333333333336,0.13333333333333333,0.016666666666666666
2,56,0.13333333333333333,0.5333333333333333,0.8166666666666667,0.016666666666666666,0.18333333333333332,0.31666666666666665,0.43333333333333335,0.75,0.8666666666666667,0.13333333333333333,0.25,0.25,0.36666666666666664,,
3,117,0.1,0.5166666666666667,0.75,0.0,0.16666666666666666,0.3,0.4166666666666667,0.7,0.8166666666666667,0.13333333333333333,0.25,0.21666666666666667,0.35,,
4,175,0.11666666666666667,0.55,0.6666666666666666,0.016666666666666666,0.18333333333333332,0.31666666666666665,0.45,0.6166666666666667,0.75,0.13333333333333333,0.2666666666666667,0.23333333333333334,0.38333333333333336,0.45,0.3
5,229,0.11666666666666667,0.5166666666666667,0.6333333333333333,0.0,0.16666666666666666,0.3,0.43333333333333335,0.5666666666666667,0.7,0.13333333333333333,0.2666666666666667,0.23333333333333334,0.36666666666666664,,
6,280,0.1,0.2833333333333333,0.35,0.0,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.43333333333333335,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.36666666666666664,0.11666666666666667,-0.016666666666666666
7,334,0.11666666666666667,0.5833333333333334,0.7,0.0,0.16666666666666666,0.3,0.4166666666666667,0.6666666666666666,0.8,0.13333333333333333,0.25,0.23333333333333334,0.35,0.48333333333333334,0.36666666666666664
8,391,0.11666666666666667,0.3,0.36666666666666664,0.016666666666666666,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.43333333333333335,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.36666666666666664,0.13333333333333333,0.0
9,447,0.13333333333333333,0.5833333333333334,0.65,0.016666666666666666,0.18333333333333332,0.31666666666666665,0.4666666666666667,0.6,0.7333333333333333,0.13333333333333333,0.2833333333333333,0.25,0.38333333333333336,0.4,0.26666666666666666
10,528,0.13333333333333333,0.43333333333333335,0.6166666666666667,0.016666666666666666,0.2,0.36666666666666664,0.36666666666666664,0.5166666666666667,0.6166666666666667,0.16666666666666663,0.16666666666666663,0.26666666666666666,0.36666666666666664,0.8,0.7
11,623,1.0166666666666666,1.1666666666666667,1.0833333333333333,0.016666666666666666,0.18333333333333332,0.31666666666666665,0.43333333333333335,0.9333333333333333,1.0833333333333333,0.13333333333333333,0.25,0.25,0.36666666666666664,0.8833333333333333,0.7666666666666667
12,739,0.08333333333333333,0.21666666666666667,0.3333333333333333,-0.016666666666666666,0.13333333333333333,0.2,0.2,0.26666666666666666,0.38333333333333336,0.06666666666666668,0.06666666666666668,0.2,0.31666666666666665,0.15,0.03333333333333333
13,858,0.08333333333333333,0.23333333333333334,0.35,-0.016666666666666666,0.13333333333333333,0.2,0.2,0.2833333333333333,0.4166666666666667,0.06666666666666668,0.06666666666666668,0.2,0.35,0.23333333333333334,0.08333333333333333
14,917,0.13333333333333333,0.31666666666666665,0.4166666666666667,0.0,0.18333333333333332,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.45,0.08333333333333334,0.08333333333333334,0.26666666666666666,0.38333333333333336,0.15,0.03333333333333333
