Index of pulse,TimeStamp,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
1,0,0.9333333333333333,1.1166666666666667,0.35,0.5333333333333333,0.25,0.4,0.15000000000000002,0.13333333333333333,0.11666666666666667,0.1,0.08333333333333334,0.06666666666666668,0.06666666666666668,0.033333333333333326,0.6333333333333333,0.5833333333333334,0.5333333333333333,0.41666666666666663,0.35,0.30000000000000004,0.16666666666666669,0.7666666666666666,0.7000000000000001,0.6333333333333333,0.5,0.41666666666666663,0.3666666666666667,0.2,1.412965817424901,1.0644439728348818,1.0084590606917194,-2.6880965326262363,-3.5385766052973353,-1.5166391731401,-2.021937432157235
2,56,1.0166666666666666,1.0,0.5833333333333334,,0.43333333333333335,,,0.3666666666666667,0.33333333333333326,0.31666666666666665,0.28333333333333344,0.25,0.2333333333333334,0.16666666666666674,0.5166666666666666,0.46666666666666656,0.43333333333333335,0.31666666666666665,0.2333333333333334,0.18333333333333335,0.08333333333333326,0.8833333333333333,0.7999999999999998,0.75,0.6000000000000001,0.4833333333333334,0.41666666666666674,0.25,4.487659898311895,3.5748418697195743,,0.10279849003611519,-2.648103199891111,0.7458508803285065,-3.3939540802196175
3,117,0.9666666666666666,1.0,0.5666666666666667,,0.41666666666666674,,,0.3666666666666667,0.3333333333333335,0.3333333333333335,0.2999999999999998,0.2666666666666666,0.25,0.18333333333333357,0.5,0.4500000000000002,0.4166666666666665,0.3333333333333335,0.2333333333333334,0.18333333333333313,0.10000000000000009,0.8666666666666667,0.7833333333333337,0.75,0.6333333333333333,0.5,0.4333333333333331,0.28333333333333366,4.054292859064513,3.3440967889705533,,0.30764806935915745,-43.903783114405634,-9.16349078942052,-34.74029232498511
4,175,0.9000000000000004,0.8833333333333333,0.6166666666666667,0.216666666666667,0.4500000000000002,0.6833333333333333,0.23333333333333317,0.3833333333333333,0.3666666666666667,0.3500000000000001,0.3166666666666669,0.2833333333333332,0.2666666666666666,0.20000000000000018,0.3999999999999999,0.3666666666666667,0.3333333333333335,0.2666666666666666,0.16666666666666652,0.1333333333333333,0.06666666666666643,0.7833333333333332,0.7333333333333334,0.6833333333333336,0.5833333333333335,0.44999999999999973,0.3999999999999999,0.2666666666666666,3.6316328092859784,2.493161840976841,2.131174106792111,0.32158368345990507,27.07837026926491,12.577546422199706,14.500823847065202
5,229,0.8500000000000001,0.6833333333333336,0.5833333333333334,,0.4333333333333331,,,0.3833333333333333,0.3500000000000001,0.3333333333333335,0.3166666666666669,0.2999999999999998,0.2833333333333332,0.2333333333333334,0.36666666666666625,0.33333333333333304,0.31666666666666643,0.25,0.15000000000000036,0.11666666666666625,0.06666666666666643,0.7499999999999996,0.6833333333333331,0.6499999999999999,0.5666666666666669,0.4500000000000002,0.39999999999999947,0.2999999999999998,2.935869594619355,1.979412434310747,,0.10720033717819666,-86.26740412802742,-35.37100959394503,-50.89639453408239
6,280,0.8999999999999995,1.0666666666666664,0.6,0.5499999999999995,0.2666666666666666,0.35,0.08333333333333337,0.21666666666666679,0.20000000000000018,0.18333333333333357,0.15000000000000036,0.13333333333333375,0.11666666666666714,0.08333333333333393,0.5666666666666664,0.5333333333333332,0.5,0.4166666666666661,0.33333333333333304,0.2833333333333332,0.21666666666666679,0.7833333333333332,0.7333333333333334,0.6833333333333336,0.5666666666666664,0.4666666666666668,0.40000000000000036,0.3000000000000007,3.19718456540401,1.8085959953681314,3.171602174404743,-0.7217925944830239,5.337594395978593,4.079513685033624,1.2580807109449692
7,334,0.9500000000000002,0.7833333333333332,0.6833333333333333,0.2333333333333335,0.43333333333333357,0.7166666666666667,0.2833333333333331,0.38333333333333375,0.34999999999999964,0.33333333333333304,0.2999999999999998,0.2666666666666666,0.25,0.15000000000000036,0.4666666666666668,0.43333333333333357,0.41666666666666696,0.34999999999999964,0.25,0.20000000000000018,0.09999999999999964,0.8500000000000005,0.7833333333333332,0.75,0.6499999999999995,0.5166666666666666,0.4500000000000002,0.25,3.9507689334947473,2.895424013307861,2.7362488829812492,0.877750775541708,9.155002259335793,6.096948412062129,3.0580538472736647
8,391,0.9333333333333336,1.166666666666667,0.3333333333333333,0.5666666666666669,0.2666666666666666,0.36666666666666664,0.10000000000000003,0.21666666666666679,0.18333333333333357,0.16666666666666696,0.14999999999999947,0.11666666666666625,0.09999999999999964,0.06666666666666643,0.6000000000000005,0.5499999999999998,0.5,0.40000000000000036,0.33333333333333304,0.2833333333333332,0.21666666666666679,0.8166666666666673,0.7333333333333334,0.666666666666667,0.5499999999999998,0.4499999999999993,0.38333333333333286,0.2833333333333332,2.8949837525234754,2.839194540210063,2.834166760923061,-1.0174056341809816,6.496884797042742,2.312018442654431,4.18486635438831
9,447,1.3500000000000005,1.1499999999999995,0.9,0.7000000000000005,0.5,0.65,0.15000000000000002,0.43333333333333357,0.38333333333333375,0.36666666666666714,0.3333333333333339,0.2833333333333332,0.21666666666666679,0.11666666666666714,0.7999999999999998,0.7666666666666666,0.7333333333333334,0.4666666666666659,0.35000000000000053,0.2999999999999998,0.20000000000000018,1.2333333333333334,1.1500000000000004,1.1000000000000005,0.7999999999999998,0.6333333333333337,0.5166666666666666,0.3166666666666673,5.546962219639662,1.5120967231897542,4.856907673705815,-3.4700055616422176,6.390355450268651,4.4150417738233925,1.9753136764452588
10,528,1.5833333333333321,1.5500000000000007,0.8833333333333333,0.5166666666666655,0.29999999999999893,1.0666666666666667,0.7666666666666677,0.2333333333333325,0.1999999999999993,0.1999999999999993,0.16666666666666607,0.13333333333333286,0.11666666666666714,0.08333333333333215,0.2833333333333332,0.23333333333333428,0.21666666666666679,0.16666666666666785,0.13333333333333286,0.09999999999999964,0.05000000000000071,0.5166666666666657,0.43333333333333357,0.4166666666666661,0.3333333333333339,0.2666666666666657,0.21666666666666679,0.13333333333333286,12.623557884187028,4.7243287439437385,5.4296940204539865,6.305493305244439,8.732369891536823,4.533393403353179,4.198976488183645
11,623,1.9333333333333336,1.8333333333333321,0.9166666666666666,0.8000000000000003,0.2666666666666675,1.1333333333333333,0.8666666666666658,0.21666666666666679,0.18333333333333357,0.16666666666666785,0.13333333333333286,0.11666666666666714,0.09999999999999964,0.06666666666666643,1.1166666666666671,1.5666666666666664,1.5333333333333332,0.2833333333333332,0.25,0.21666666666666679,0.16666666666666607,1.333333333333334,1.75,1.700000000000001,0.4166666666666661,0.36666666666666714,0.31666666666666643,0.2333333333333325,1.2853525500604803,-1.219054759274112,0.1895825920077604,-0.050439529767750915,2.2178873734052478,1.6838271015378277,0.5340602718674201
12,739,1.9833333333333343,2.0166666666666675,0.2833333333333333,1.6333333333333342,0.16666666666666607,0.35,0.1833333333333339,0.13333333333333286,0.11666666666666536,0.09999999999999964,0.08333333333333215,0.06666666666666643,0.049999999999998934,0.033333333333333215,1.7666666666666675,1.75,1.7333333333333343,0.4833333333333343,1.1500000000000004,1.4833333333333343,0.0666666666666682,1.9000000000000004,1.8666666666666654,1.833333333333334,0.5666666666666664,1.2166666666666668,1.5333333333333332,0.10000000000000142,0.5201888042661013,0.3296702116510811,0.287562628764397,-0.3845565889619954,6.9603475803893975,0.990379043792963,5.969968536596435
13,858,0.9833333333333325,1.0500000000000007,0.31666666666666665,0.5499999999999992,0.1999999999999993,0.43333333333333335,0.23333333333333406,0.16666666666666607,0.15000000000000036,0.13333333333333286,0.11666666666666714,0.08333333333333393,0.08333333333333393,0.05000000000000071,0.7333333333333325,0.6999999999999993,0.6833333333333336,0.6500000000000004,0.6166666666666671,0.5999999999999996,0.15000000000000036,0.8999999999999986,0.8499999999999996,0.8166666666666664,0.7666666666666675,0.7000000000000011,0.6833333333333336,0.20000000000000107,0.7683882454247581,0.6751175888916554,0.7166659905035485,-0.0993270258481761,7.7929361041441165,2.3902762206345973,5.40265988350952
14,917,1.3666666666666654,1.25,0.35,0.9499999999999986,0.2666666666666675,0.4166666666666667,0.1499999999999992,0.21666666666666679,0.18333333333333357,0.16666666666666785,0.13333333333333464,0.11666666666666714,0.10000000000000142,0.0666666666666682,1.0666666666666664,0.06666666666666643,0.06666666666666643,0.049999999999998934,0.033333333333333215,0.033333333333333215,0.01666666666666572,1.2833333333333332,0.25,0.23333333333333428,0.18333333333333357,0.15000000000000036,0.13333333333333464,0.08333333333333393,1.0106004572374898,0.9414435015566742,0.9209998932174862,0.930192357913853,8.904392357843241,2.209455885356882,6.694936472486359
