Index of pulse,TimeStamp,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
1,1,0.8166666666666667,0.8,1.05,0.7333333333333333,0.8666666666666667,0.9166666666666666,0.9166666666666666,0.9833333333333333,1.1,0.04999999999999993,0.04999999999999993,0.9166666666666666,1.05,,
2,77,0.06666666666666667,0.43333333333333335,1.0833333333333333,0.5,0.6333333333333333,,,0.5,,,,0.6833333333333333,,0.016666666666666666,
3,170,0.08333333333333333,0.23333333333333334,0.3333333333333333,0.0,0.15,0.2,0.2,0.2833333333333333,0.38333333333333336,0.05000000000000002,0.05000000000000002,0.2,0.3333333333333333,0.15,0.016666666666666666
4,202,0.08333333333333333,0.23333333333333334,0.35,0.0,0.15,0.21666666666666667,0.21666666666666667,0.3,0.43333333333333335,0.06666666666666668,0.06666666666666668,0.21666666666666667,0.36666666666666664,0.2,0.05
5,239,0.1,0.26666666666666666,0.4,0.0,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.5,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.4,0.21666666666666667,0.05
6,280,0.1,0.25,0.38333333333333336,-0.016666666666666666,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.45,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.38333333333333336,0.21666666666666667,0.06666666666666667
7,318,0.8,0.9,1.0166666666666666,0.7,0.8333333333333334,,,0.7,,,,0.9,,0.0,
8,405,0.08333333333333333,0.25,0.38333333333333336,-0.016666666666666666,0.15,0.2,0.2,0.31666666666666665,0.4666666666666667,0.05000000000000002,0.05000000000000002,0.2,0.4,0.2,0.0
9,443,0.08333333333333333,0.55,0.7333333333333333,0.26666666666666666,0.4166666666666667,0.48333333333333334,0.48333333333333334,0.6333333333333333,0.7333333333333333,0.06666666666666665,0.06666666666666665,0.48333333333333334,0.6833333333333333,0.35,0.15
10,519,0.1,0.23333333333333334,0.35,0.0,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.3,0.43333333333333335,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.38333333333333336,0.18333333333333332,0.03333333333333333
11,557,0.08333333333333333,0.55,0.7,0.2833333333333333,0.45,0.5333333333333333,0.5333333333333333,0.6166666666666667,0.7666666666666667,0.08333333333333331,0.08333333333333331,0.5333333333333333,0.7,0.18333333333333332,0.016666666666666666
12,645,0.95,,,0.26666666666666666,0.4166666666666667,,,0.26666666666666666,,,,0.48333333333333334,,-0.03333333333333333,
13,714,0.4166666666666667,0.8,0.95,0.3,0.4666666666666667,0.5833333333333334,0.7166666666666667,0.8666666666666667,1.0166666666666666,0.1166666666666667,0.25,0.5333333333333333,0.65,0.16666666666666666,0.05
14,843,0.6666666666666666,,,0.23333333333333334,0.4,0.5,0.5,0.5666666666666667,0.7333333333333333,0.09999999999999998,0.09999999999999998,0.5,0.65,,
15,895,0.9666666666666667,,,0.3,0.45,,,0.3,,,,0.5,,0.0,
