Index of pulse,TimeStamp,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
1,0,0.2,0.38333333333333336,0.5,0.08333333333333333,0.25,0.31666666666666665,0.31666666666666665,0.4166666666666667,0.6333333333333333,0.06666666666666665,0.06666666666666665,0.31666666666666665,0.48333333333333334,0.2,0.03333333333333333
2,47,0.11666666666666667,0.2833333333333333,0.4,0.016666666666666666,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.5166666666666667,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.36666666666666664,0.18333333333333332,0.05
3,88,0.11666666666666667,0.2833333333333333,0.4,0.016666666666666666,0.18333333333333332,0.25,0.25,0.3333333333333333,0.5166666666666667,0.06666666666666668,0.06666666666666668,0.25,0.4,0.16666666666666666,0.016666666666666666
4,129,0.11666666666666667,0.3,0.4166666666666667,0.016666666666666666,0.18333333333333332,0.26666666666666666,0.26666666666666666,0.35,0.5166666666666667,0.08333333333333334,0.08333333333333334,0.26666666666666666,0.45,0.16666666666666666,-0.016666666666666666
5,169,0.1,0.25,0.38333333333333336,0.0,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.48333333333333334,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.38333333333333336,0.2,0.05
6,208,0.11666666666666667,0.2833333333333333,0.4166666666666667,0.016666666666666666,0.18333333333333332,0.25,0.25,0.35,0.48333333333333334,0.06666666666666668,0.06666666666666668,0.25,0.4166666666666667,0.18333333333333332,0.016666666666666666
7,247,0.1,0.26666666666666666,0.38333333333333336,0.0,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.43333333333333335,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.36666666666666664,0.16666666666666666,0.03333333333333333
8,289,0.1,0.26666666666666666,0.38333333333333336,0.016666666666666666,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.43333333333333335,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.36666666666666664,0.16666666666666666,0.03333333333333333
9,332,0.11666666666666667,0.26666666666666666,0.38333333333333336,0.016666666666666666,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.48333333333333334,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.4,0.2,0.03333333333333333
10,372,0.1,0.26666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.21666666666666667,0.21666666666666667,0.2833333333333333,0.4,0.05000000000000002,0.05000000000000002,0.21666666666666667,0.3333333333333333,0.11666666666666667,0.0
