Index of pulse,TimeStamp,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
1,0,85.71428571428572,1.6250000000000004,0.6170212765957447,0.4468085106382979,0.25531914893617025,1.5263157894736843,1.105263157894737,0.6315789473684211,3.4285714285714297,3.1428571428571437,3.3333333333333344,3.2000000000000015,2.2000000000000006,2.000000000000001,1.3333333333333344,0.40425531914893614,-0.6537066394261069,0.15526128839343417,0.7074922617574931,0.2142525354652615,7.390033120938498,3.167157051830786
2,47,87.80487804878048,1.3750000000000004,0.7804878048780489,0.6097560975609756,0.3414634146341465,2.285714285714286,1.785714285714286,1.0000000000000004,2.181818181818184,2.2000000000000006,2.3333333333333353,2.5714285714285734,2.1666666666666683,1.8000000000000032,1.3333333333333348,0.3414634146341463,-1.54415972631025,0.7328845411867363,1.7594702339902637,0.07888064122634413,16.13484947561777,6.573457193770206
3,88,87.80487804878048,1.375,0.7317073170731704,0.5609756097560975,0.2926829268292682,2.1428571428571415,1.6428571428571423,0.8571428571428568,2.1818181818181825,2.333333333333334,2.222222222222223,2.2857142857142847,1.6666666666666696,1.4000000000000017,1.0,0.3414634146341464,-1.3853025837289987,0.6355324863143803,16.14888332223166,0.08355802074541524,15.231658928411212,6.2054906745379
4,129,94.73684210526316,1.5714285714285694,0.7749999999999996,0.65,0.4000000000000004,2.2142857142857135,1.8571428571428577,1.1428571428571441,2.181818181818184,2.444444444444446,2.6250000000000013,2.7142857142857153,3.1999999999999935,2.199999999999999,1.6666666666666756,0.3499999999999999,-1.479599790046438,0.7636063631526109,1.0491593525127028,0.08784784726224591,13.280537918975982,6.1294790395273715
5,169,87.80487804878045,1.7692307692307703,0.7948717948717949,0.6410256410256415,0.2564102564102562,2.5833333333333366,2.0833333333333375,0.8333333333333337,2.7777777777777786,2.8750000000000004,3.1428571428571423,3.166666666666666,1.399999999999998,1.5000000000000067,1.5000000000000133,0.3076923076923073,-1.1985588098107118,0.6141161127808789,1.5005256777990157,0.0909803204817645,9.421189688100242,4.8850613197556845
6,208,94.73684210526324,1.6923076923076965,0.7435897435897443,0.5384615384615383,0.2564102564102564,2.071428571428571,1.499999999999998,0.7142857142857135,1.9999999999999951,2.2222222222222148,2.249999999999999,1.9999999999999962,1.1666666666666659,0.9999999999999947,0.9999999999999911,0.35897435897435936,-1.5166930640257212,0.4873611221659212,0.08135299826612509,0.07654524322140643,15.241530597689714,7.3159346868910715
7,247,85.7142857142857,1.1111111111111105,0.7619047619047615,0.5714285714285705,0.2619047619047622,2.4615384615384595,1.8461538461538427,0.8461538461538468,2.2727272727272823,2.200000000000011,2.222222222222234,2.0000000000000067,1.6666666666666756,0.8333333333333423,0.5,0.3095238095238096,-1.381704186891107,0.6644030922534143,1.8027369539290934,0.08141733512359195,14.515559616685769,5.50590192357046
8,289,83.72093023255813,1.1052631578947365,0.7906976744186042,0.5813953488372083,0.2558139534883724,2.6153846153846128,1.9230769230769194,0.8461538461538468,2.699999999999996,2.7777777777777897,2.8750000000000133,2.571428571428579,1.5000000000000089,1.2000000000000106,1.0,0.30232558139534893,-1.5572452933344882,0.6399730909619913,1.9590993549092734,0.07563315375076994,15.625663128005584,5.729409813602045
9,332,85.7142857142857,1.642857142857141,0.7750000000000009,0.6499999999999987,0.49999999999999933,2.3846153846153872,1.999999999999996,1.5384615384615363,2.4999999999999973,2.8749999999999942,2.7499999999999885,3.3333333333333424,3.6000000000000107,4.000000000000013,1.3333333333333333,0.325,-1.2460362597476478,0.7829671834861052,1.2288870104140108,0.0942473046259041,10.610383012748235,5.10870293206396
10,372,92.30769230769238,0.8571428571428565,0.7560975609756094,0.6341463414634148,0.4878048780487812,2.0666666666666664,1.7333333333333343,1.3333333333333357,1.9166666666666625,2.0999999999999943,1.9999999999999947,2.2499999999999916,2.285714285714276,2.3333333333333215,2.7500000000000133,0.36585365853658525,-1.1380494715189677,0.9757262512066973,0.8663155411875278,0.11713431492794339,25.61162373165786,4.925312256088047
