Index of pulse,TimeStamp,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
1,1,0.6833333333333333,0.85,1.25,0.55,0.7333333333333333,0.9,1.0333333333333334,1.1666666666666667,1.3,0.16666666666666674,0.30000000000000016,0.8166666666666667,0.9666666666666667,,
2,87,0.1,0.25,0.36666666666666664,0.016666666666666666,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.4166666666666667,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.36666666666666664,0.18333333333333332,0.05
3,138,0.08333333333333333,0.23333333333333334,0.36666666666666664,-0.016666666666666666,0.13333333333333333,0.21666666666666667,0.21666666666666667,0.3,0.43333333333333335,0.08333333333333334,0.08333333333333334,0.21666666666666667,0.36666666666666664,0.23333333333333334,0.08333333333333333
4,191,0.08333333333333333,0.21666666666666667,0.3333333333333333,-0.016666666666666666,0.13333333333333333,0.2,0.2,0.26666666666666666,0.38333333333333336,0.06666666666666668,0.06666666666666668,0.2,0.31666666666666665,0.15,0.03333333333333333
5,224,0.25,0.4,0.48333333333333334,0.18333333333333332,0.2833333333333333,0.35,0.35,0.4166666666666667,0.5333333333333333,0.06666666666666665,0.06666666666666665,0.35,0.48333333333333334,0.13333333333333333,0.0
6,291,0.11666666666666667,0.2833333333333333,0.48333333333333334,0.03333333333333333,0.18333333333333332,0.25,0.25,0.35,0.6166666666666667,0.06666666666666668,0.06666666666666668,0.25,0.38333333333333336,0.3,0.16666666666666666
7,340,0.1,0.2833333333333333,0.4,-0.016666666666666666,0.16666666666666666,0.25,0.25,0.3333333333333333,0.45,0.08333333333333334,0.08333333333333334,0.25,0.38333333333333336,0.2,0.06666666666666667
8,392,0.1,0.26666666666666666,0.4166666666666667,0.0,0.15,0.21666666666666667,0.21666666666666667,0.31666666666666665,0.5166666666666667,0.06666666666666668,0.06666666666666668,0.21666666666666667,0.4,0.25,0.06666666666666667
9,461,0.5833333333333334,0.7166666666666667,0.6333333333333333,0.2,0.3333333333333333,0.4,0.4,0.48333333333333334,0.6333333333333333,0.06666666666666671,0.06666666666666671,0.4,0.55,0.2833333333333333,0.13333333333333333
10,588,1.3166666666666667,,,0.23333333333333334,0.36666666666666664,0.48333333333333334,0.6,0.95,1.1,0.1166666666666667,0.23333333333333334,0.43333333333333335,0.5333333333333333,1.0,0.9
11,699,2.683333333333333,,,0.31666666666666665,0.35,0.36666666666666664,1.35,1.5166666666666666,1.6666666666666667,0.016666666666666663,1.0,0.35,1.2833333333333334,1.3833333333333333,0.45
