Index of pulse,TimeStamp,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
1,0,0.28571428571428575,0.5476190476190477,0.7142857142857143,0.11904761904761905,0.35714285714285715,0.4523809523809524,0.4523809523809524,0.5952380952380953,0.9047619047619048,0.14893617021276598,0.17021276595744683,0.3143987880270335,-0.3963455116040177,-0.3117567521891104,-0.669458879470653,-0.6077453851033914,-0.6077453851033914,0.05303539917302281,-0.16433155918469064,-0.04806727953186055,0.061713494367261555,0.061713494367261555,0.49299649156310704,0.5460318907361299,-0.7224942786436758,-1.0480672795318606,-4.7571434320708175,-4.7571434320708175,-0.04247552891623292,0.09974687665410176
2,47,0.17073170731707318,0.4146341463414634,0.5853658536585366,0.024390243902439025,0.24390243902439024,0.34146341463414637,0.34146341463414637,0.4878048780487805,0.7560975609756098,0.14634146341463417,0.1707317073170732,0.501588064707918,-0.26301921665249356,-0.15873648784290764,-0.8001541288829273,-0.6657037168475107,-0.6657037168475107,0.12754019577560202,-0.22392934000442224,0.11460913337767184,0.13445041203541658,0.13445041203541658,0.4037131090364921,0.5312533048120941,-0.9276943246585293,-0.8853908666223281,27.135149736895393,27.135149736895393,-0.04648047661330442,1.093766517142753
3,88,0.17073170731707318,0.4146341463414634,0.5853658536585366,0.024390243902439025,0.26829268292682923,0.36585365853658536,0.36585365853658536,0.4878048780487805,0.7560975609756098,0.14634146341463414,0.14634146341463414,0.38940218765761125,-0.34205312344507943,-0.20269980086036135,-0.9128540276219727,-0.5630743040155308,-0.5630743040155308,0.1537739898055267,-0.21571181638878364,-0.08986179781374412,0.3497797236064419,0.3497797236064419,0.05952059060356218,0.21329458040908889,-1.0666280174274994,-1.0339870462618246,-23.74063546711957,-23.74063546711957,-0.04433762997620399,15.58580901821613
4,129,0.1842105263157895,0.4736842105263158,0.6578947368421053,0.026315789473684213,0.2894736842105263,0.4210526315789474,0.4210526315789474,0.5526315789473684,0.8157894736842106,0.14999999999999994,0.17499999999999993,0.4885682048255561,-0.26079917520074236,-0.09111818659960223,-0.8242640725443179,-0.4136780927865779,-0.4136780927865779,0.16424854993983837,-0.460002156507395,-0.028522653541373257,0.41058597975774,0.41058597975774,-0.1611564369110005,0.0030921130288378766,-0.9885126224841563,-0.9684733302336552,-117.93751753075412,-117.93751753075412,-0.036180483375565564,0.6354812597261248
5,169,0.1463414634146341,0.36585365853658525,0.5609756097560974,0.0,0.24390243902439016,0.34146341463414626,0.34146341463414626,0.46341463414634126,0.7073170731707314,0.15384615384615388,0.12820512820512825,0.753544588102458,-0.4109462688693771,0.014887610326289989,-0.9355403087060712,-0.539173077245003,-0.539173077245003,0.3761048901541988,-0.3770368362641778,-1.5670281456598836,0.3963672314610682,0.3963672314610682,-0.23329904437026408,0.14280584578393474,-1.31164519886027,-1.953884537204671,-2.80768488638154,-2.80768488638154,-0.050649317266104214,0.9613526005540127
6,208,0.1842105263157896,0.4473684210526319,0.6578947368421058,0.02631578947368423,0.2894736842105265,0.39473684210526344,0.39473684210526344,0.5526315789473688,0.7631578947368427,0.153846153846154,0.153846153846154,0.31153095758553834,-0.5045181882396594,-0.1041472545336645,-1.0489060847156257,-0.8739093013145371,-0.8739093013145371,0.4360256844400472,-0.4041164437948725,-0.27653460579020067,0.17499678340108854,0.17499678340108854,0.26288683347340147,0.6989125179134487,-1.484931769155673,-1.2042257684797057,-4.690212227021141,-4.690212227021141,-0.06716913287771116,-0.7925563030484121
7,247,0.14285714285714282,0.3809523809523809,0.5476190476190476,0.0,0.23809523809523803,0.33333333333333326,0.33333333333333326,0.4523809523809523,0.619047619047619,0.14285714285714282,0.14285714285714282,0.5265764660203697,-0.3497590485234555,-0.11526009417145629,-0.9069276789535274,-0.5800115973326014,-0.5800115973326014,0.23997608376208374,-0.12554339033966927,-0.2673062027863166,0.326916081620926,0.326916081620926,0.013119431949591762,0.2530955157116755,-1.1469037627156111,-1.1840552153487305,-10.869106709270735,-10.869106709270735,-0.043930657248539555,1.222725356596492
8,289,0.13953488372093023,0.3720930232558139,0.5348837209302325,0.02325581395348837,0.23255813953488366,0.3255813953488372,0.3255813953488372,0.44186046511627897,0.6046511627906976,0.11627906976744186,0.13953488372093023,0.3914181943337586,-0.4020267460324376,-0.0873707721390316,-1.0365086311830642,-0.6521170164581349,-0.6521170164581349,0.33018056678346863,-0.11165639384344143,-0.03264743745162751,0.38439161472492933,0.38439161472492933,-0.06245516505026301,0.26772540173320564,-1.366689197966533,-0.9596571745949741,-64.37352638581561,-64.37352638581561,-0.0543204834565941,1.3069823384511385
9,332,0.16666666666666663,0.3809523809523809,0.5476190476190476,0.023809523809523805,0.23809523809523803,0.33333333333333326,0.33333333333333326,0.4523809523809523,0.6904761904761904,0.14999999999999994,0.14999999999999994,0.6493503864092174,-0.2920562681039273,0.015264743037060501,-0.8365831004877408,-0.5777049337139762,-0.5777049337139762,0.26561181088403857,-0.45188138008805306,-0.12642028255728308,0.2588781667737645,0.2588781667737645,0.05321495605617324,0.3188267669402118,-1.1021949113717793,-1.0834212009549526,-32.22842455382862,-32.22842455382862,-0.04025468912050557,0.6511820767000346
10,372,0.153846153846154,0.4102564102564106,0.5128205128205132,0.0,0.2564102564102566,0.3333333333333336,0.3333333333333336,0.43589743589743624,0.615384615384616,0.1463414634146341,0.1463414634146341,0.9009453213605265,-0.04027509011690446,-0.03170254182802953,-0.6544202286263561,-0.4792439404524375,-0.4792439404524375,-0.005290316449570399,-0.23068483582409793,0.9221944743233902,0.1751762881739186,0.1751762881739186,0.30935796872808935,0.30406765227851895,-0.6491299121767857,-0.06926206388931996,8.767992259788986,8.767992259788986,-0.009127353028471737,0.38707160073509034
11,413,0.14999999999999994,0.4249999999999998,0.5749999999999997,0.0,0.2499999999999999,0.34999999999999987,0.34999999999999987,0.4999999999999998,0.7499999999999997,0.15000000000000013,0.17500000000000016,0.47529554348127867,-0.3393065669619934,-0.17437654749113835,-0.9068226483224786,-0.6716824319849534,-0.6716824319849534,0.1935346520900836,-0.27392417936771424,-0.1884963300697702,0.2351402163375253,0.2351402163375253,0.24300756355734443,0.43654221564742807,-1.1003573004125622,-1.1651110197905628,-14.174202855719793,-14.174202855719793,-0.045095106422325525,1.9443295431064347
12,453,0.17499999999999993,0.4249999999999998,0.6499999999999997,0.024999999999999988,0.27499999999999986,0.37499999999999983,0.37499999999999983,0.5249999999999997,0.7749999999999997,0.1463414634146343,0.1463414634146343,0.4568654939821384,-0.4417348558615572,-0.03423038238253174,-0.9849413592176134,-0.598218034514966,-0.598218034514966,0.34706585138592255,-0.36039722171252714,-0.6330394851360007,0.38672332470264736,0.38672332470264736,-0.13557114157360392,0.21149470981231866,-1.3320072106035359,-1.4270687683090597,-3.86425927855475,-3.86425927855475,-0.05181816434218894,0.43954884413347084
13,494,0.15000000000000013,0.40000000000000036,0.5500000000000005,0.0,0.2500000000000002,0.3500000000000003,0.3500000000000003,0.4750000000000004,0.6750000000000006,0.15384615384615377,0.15384615384615377,0.4960500892720364,-0.38814503009519424,-0.16695610839556801,-0.9462459286954559,-0.5696251608736541,-0.5696251608736541,0.2493917089883769,-0.28810003109282206,-0.39032596235807143,0.3766207678218018,0.3766207678218018,-0.05638731593652458,0.19300439305185232,-1.1956376376838327,-1.2590542135727611,-6.882905536141066,-6.882905536141066,-0.04397671163685365,0.07377404568068091
14,533,0.1842105263157896,0.4473684210526319,0.68421052631579,0.0,0.2894736842105265,0.4210526315789477,0.4210526315789477,0.5526315789473688,0.7894736842105269,0.1794871794871794,0.15384615384615377,0.38825377725647103,-0.5739293529350442,0.11603093430890996,-1.1832088571664363,-0.6253771072065869,-0.6253771072065869,0.6638991860483066,-0.7808474234943582,-0.7801583178218693,0.5578317499598494,0.5578317499598494,-0.596353828801569,0.06754535724673755,-1.8471080432147429,-1.2437126943240158,-3.315600734762388,-3.315600734762388,-0.06022996513791239,0.27171761767809666
15,572,0.15789473684210495,0.39473684210526233,0.6052631578947356,0.0,0.26315789473684154,0.3684210526315782,0.3684210526315782,0.49999999999999895,0.7105263157894722,0.16216216216216206,0.13513513513513506,0.4922844540239549,-0.5512054032603968,0.1098749407772613,-1.0606427311147766,-0.5315230790517507,-0.5315230790517507,0.5638075885603444,-0.511127985416134,-1.0017641456184028,0.5291196520630259,0.5291196520630259,-0.5614041615716198,0.002403426988724715,-1.6244503196751212,-1.3986269762124224,-2.7587325330159373,-2.7587325330159373,-0.07114724715464084,-0.03531443727809869
16,609,0.1891891891891896,0.45945945945946043,0.6756756756756771,0.0,0.2972972972972979,0.43243243243243334,0.43243243243243334,0.5675675675675688,0.7837837837837854,0.18918918918918903,0.16216216216216206,0.3784074555521961,-0.5640915098915982,-0.03529790337852478,-1.0496907382920513,-0.5295712513848336,-0.5295712513848336,0.5225582848964905,-0.45639573488756613,-0.8210235610690915,0.5201194869072175,0.5201194869072175,-0.5131065204188744,0.009451764477616096,-1.5722490231885418,-1.286715565630831,-2.4596951067010075,-2.4596951067010075,-0.06691424329746234,0.3014999959507806
