Index of pulse,TimeStamp,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
1,0,0.7833333333333333,0.7,0.43333333333333335,0.2666666666666666,0.31666666666666665,0.5166666666666667,0.20000000000000007,0.11666666666666664,0.11666666666666664,0.09999999999999998,0.08333333333333331,0.08333333333333331,0.06666666666666665,0.04999999999999999,0.4,0.3666666666666667,0.33333333333333337,0.2666666666666667,0.18333333333333335,0.13333333333333336,0.06666666666666671,0.5166666666666666,0.48333333333333334,0.43333333333333335,0.35000000000000003,0.26666666666666666,0.2,0.1166666666666667,1.4780066241877001,0.752425578806959,0.2294772127254126,-1.7865175319320616,-3.9947047354585026,-2.339515572004303,-1.6551891634541995
2,47,0.6833333333333332,0.6833333333333333,0.36666666666666664,0.26666666666666655,0.23333333333333328,0.4166666666666667,0.1833333333333334,0.18333333333333324,0.16666666666666663,0.1499999999999999,0.11666666666666659,0.09999999999999998,0.08333333333333326,0.04999999999999993,0.40000000000000013,0.3666666666666667,0.3500000000000001,0.30000000000000004,0.21666666666666679,0.15000000000000013,0.06666666666666665,0.5833333333333334,0.5333333333333333,0.5,0.41666666666666663,0.31666666666666676,0.2333333333333334,0.11666666666666659,2.9580557371965925,2.340856329381542,2.1679133217601176,0.3453221167766649,45.74343386930451,16.576889761611362,29.16654410769315
3,88,0.6833333333333333,0.6833333333333333,0.36666666666666664,0.26666666666666666,0.2333333333333334,0.4166666666666667,0.1833333333333333,0.18333333333333335,0.1499999999999999,0.1499999999999999,0.1166666666666667,0.09999999999999987,0.08333333333333326,0.050000000000000044,0.40000000000000013,0.34999999999999987,0.33333333333333326,0.2666666666666666,0.16666666666666674,0.1166666666666667,0.050000000000000044,0.5833333333333335,0.4999999999999998,0.48333333333333317,0.3833333333333333,0.2666666666666666,0.19999999999999996,0.10000000000000009,2.792470803542055,1.992676446054938,1.7747059127353977,-0.10014297893987067,-2.3864741597379044,-0.13916207340708306,-2.2473120863308216
4,129,0.666666666666667,0.6333333333333333,0.36666666666666664,0.23333333333333361,0.2333333333333334,0.43333333333333335,0.19999999999999996,0.18333333333333313,0.1499999999999999,0.1333333333333333,0.1166666666666667,0.08333333333333348,0.08333333333333348,0.04999999999999982,0.3999999999999999,0.3666666666666667,0.3500000000000001,0.3166666666666669,0.2666666666666666,0.18333333333333357,0.08333333333333348,0.583333333333333,0.5166666666666666,0.4833333333333334,0.43333333333333357,0.3500000000000001,0.26666666666666705,0.1333333333333333,2.6561075837951957,2.1735862434568083,2.028220652203918,0.22063129709174745,27.487064843410625,13.413824947145116,14.073239896265509
5,169,0.6499999999999999,0.6833333333333336,0.38333333333333336,0.21666666666666656,0.19999999999999973,0.43333333333333335,0.23333333333333361,0.1499999999999999,0.1333333333333333,0.1166666666666667,0.10000000000000009,0.08333333333333348,0.06666666666666643,0.033333333333333215,0.4166666666666665,0.3833333333333333,0.3666666666666667,0.3166666666666669,0.1166666666666667,0.10000000000000009,0.050000000000000266,0.5666666666666664,0.5166666666666666,0.4833333333333334,0.41666666666666696,0.20000000000000018,0.16666666666666652,0.08333333333333348,2.198277593890059,1.3143303511628357,1.3499976907730664,-0.03894801747662391,-7.69722336202367,-3.0782420794010132,-4.618981282622657
6,208,0.6499999999999995,0.6333333333333329,0.36666666666666664,0.21666666666666612,0.2333333333333334,0.43333333333333335,0.19999999999999996,0.18333333333333357,0.15000000000000036,0.1333333333333333,0.1166666666666667,0.10000000000000009,0.08333333333333348,0.050000000000000266,0.36666666666666625,0.33333333333333304,0.2999999999999998,0.23333333333333295,0.1166666666666667,0.08333333333333304,0.04999999999999982,0.5499999999999998,0.4833333333333334,0.4333333333333331,0.34999999999999964,0.21666666666666679,0.16666666666666652,0.10000000000000009,3.048306119537942,1.742731898590972,1.485625891123256,-0.17573645091317003,1.9660825641391773,1.8181690597720217,0.14791350436715556
7,247,0.7000000000000002,0.7000000000000002,0.3333333333333333,0.30000000000000016,0.21666666666666679,0.4,0.18333333333333324,0.18333333333333268,0.16666666666666607,0.14999999999999947,0.13333333333333286,0.09999999999999964,0.09999999999999964,0.06666666666666643,0.41666666666666696,0.36666666666666714,0.3333333333333339,0.2666666666666666,0.16666666666666696,0.08333333333333393,0.033333333333333215,0.5999999999999996,0.5333333333333332,0.4833333333333334,0.39999999999999947,0.2666666666666666,0.18333333333333357,0.09999999999999964,2.6611859297257228,1.9692124240419848,1.7681001607710476,0.08382005784973168,-213.96682585721211,-76.34210037344278,-137.62472548376934
8,289,0.7166666666666668,0.7166666666666668,0.35,0.31666666666666676,0.21666666666666679,0.4,0.18333333333333324,0.16666666666666696,0.14999999999999947,0.13333333333333286,0.11666666666666625,0.09999999999999964,0.08333333333333304,0.04999999999999982,0.4500000000000002,0.41666666666666696,0.38333333333333375,0.2999999999999998,0.15000000000000036,0.10000000000000053,0.04999999999999982,0.6166666666666671,0.5666666666666664,0.5166666666666666,0.4166666666666661,0.25,0.18333333333333357,0.09999999999999964,2.8647049068010224,1.9479724219318462,1.8333340538994334,0.08641939787627284,-37.90479272075871,-12.809570810075376,-25.09522191068333
9,332,0.666666666666667,0.7000000000000002,0.38333333333333336,0.23333333333333361,0.21666666666666679,0.43333333333333335,0.21666666666666656,0.16666666666666696,0.13333333333333375,0.13333333333333375,0.09999999999999964,0.08333333333333304,0.06666666666666643,0.04999999999999982,0.41666666666666696,0.38333333333333375,0.36666666666666625,0.33333333333333304,0.2999999999999998,0.2666666666666666,0.06666666666666643,0.5833333333333339,0.5166666666666675,0.5,0.4333333333333327,0.38333333333333286,0.33333333333333304,0.11666666666666625,2.298916319428783,1.7738592795832895,1.7999760356933976,-0.005385753699405305,-8.576810177378933,-3.8480237613237334,-4.7287864160552
10,372,0.6833333333333336,0.6499999999999995,0.3,0.35000000000000026,0.25,0.3333333333333333,0.08333333333333331,0.20000000000000018,0.16666666666666696,0.16666666666666696,0.13333333333333375,0.11666666666666714,0.10000000000000053,0.06666666666666643,0.38333333333333286,0.34999999999999964,0.33333333333333304,0.2999999999999998,0.2666666666666666,0.2333333333333334,0.18333333333333357,0.583333333333333,0.5166666666666666,0.5,0.43333333333333357,0.38333333333333375,0.3333333333333339,0.25,2.1343019776381547,2.1006950818800885,2.082494467583917,-0.03042002990592252,-4.400046054700641,-2.3576110028537363,-2.0424350518469048
