Index of pulse,TimeStamp,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
1,0,0.27083333333333337,0.5208333333333334,0.6041666666666667,0.12500000000000003,0.3541666666666667,0.4375,0.4375,0.5625000000000001,0.6666666666666667,0.1320754716981132,0.15094339622641512,0.20911814731778744,-0.36337733354689655,-0.3339003310754652,-0.7219253348290603,-0.6025129633328616,-0.6025129633328616,0.03434069352388551,-0.0693879247114923,0.5533577805931192,0.11941237149619865,0.11941237149619865,0.4487598983127775,0.48310059183666304,-0.7562660283529459,-0.44664221940688076,1.1145492872262406,1.1145492872262406,-0.026866838679967624,0.1584962538898862
2,53,0.15555555555555556,0.4222222222222222,0.4888888888888889,0.022222222222222223,0.26666666666666666,0.35555555555555557,0.35555555555555557,0.4444444444444444,0.5555555555555556,0.1276595744680851,0.1489361702127659,0.3114662537863188,-0.1332063696523271,-0.14357539093052996,-0.8496059538591774,-0.5087995447432199,-0.5087995447432199,-0.033404832548706645,-0.15672031005723913,0.6927873877697778,0.3408064091159575,0.3408064091159575,0.20139796817596894,0.1679931356272623,-0.8162011213104707,-0.30721261223022217,3.9409265344646633,3.9409265344646633,-0.021488920987599792,1.7971501570909403
3,100,0.15217391304347827,0.391304347826087,0.5000000000000001,0.02173913043478261,0.2391304347826087,0.32608695652173914,0.32608695652173914,0.41304347826086957,0.5434782608695653,0.1363636363636364,0.15909090909090912,0.25948879870423286,-0.31116528409346966,-0.23646592936479063,-0.9697801909280765,-0.6332712081630356,-0.6332712081630356,0.06329699155968807,-0.13819311951667754,0.49742946672468075,0.33650898276504093,0.33650898276504093,0.2334652338383067,0.29676222539799474,-1.0330771824877647,-0.49394920481074683,3.3588868950352913,3.3588868950352913,-0.03220884977700132,-0.04007523455387996
4,144,0.1739130434782609,0.41304347826086957,0.4782608695652174,0.02173913043478261,0.26086956521739135,0.32608695652173914,0.32608695652173914,0.43478260869565216,0.5652173913043479,0.15217391304347827,0.15217391304347824,0.2767386643146525,-0.19245759264733162,-0.18571032590626713,-0.9554558618575565,-0.7831590331209466,-0.7831590331209466,-0.008115861466571811,-0.227010449881535,0.6812182007956812,0.1722968287366099,0.1722968287366099,0.6189780658509085,0.6108622043843367,-0.9473400003909846,-0.3160985789130349,3.3069928228275196,3.3069928228275196,-0.02744856285019169,1.275936754071055
5,190,0.17777777777777767,0.44444444444444414,0.5999999999999996,0.02222222222222221,0.2666666666666665,0.35555555555555535,0.35555555555555535,0.46666666666666634,0.5999999999999996,0.15555555555555556,0.17777777777777773,0.2611538350178281,-0.2264474024643704,-0.32534739372849425,-0.944425065843468,-0.6669742403721844,-0.6669742403721844,-0.03595834394463858,-0.1482523976316795,0.6522109671482983,0.27745082547128347,0.27745082547128347,0.4254817588455396,0.38952341490090103,-0.9084667218988294,-0.34778903285170165,1.7114504054872046,1.7114504054872046,-0.027041345495002207,-1.6049551021254316
6,235,0.1590909090909091,0.4545454545454545,0.5227272727272727,0.022727272727272724,0.2727272727272727,0.3636363636363636,0.3636363636363636,0.4772727272727272,0.5227272727272727,0.13333333333333325,0.17777777777777765,0.27192494585442584,-0.20381833029951688,-0.27446104195514914,-0.807804844352198,-0.5380745924368171,-0.5380745924368171,-0.13219082816402464,-0.12953565041275858,0.7474363782171056,0.2697302519153809,0.2697302519153809,0.40053516868546085,0.2683443405214362,-0.6756140161881734,-0.2525636217828944,1.763010755485707,1.763010755485707,-0.01621787817276298,22.20301767836286
7,280,0.15217391304347827,0.41304347826086957,0.4565217391304348,0.02173913043478261,0.2391304347826087,0.3478260869565218,0.3478260869565218,0.43478260869565216,0.5434782608695653,0.13333333333333333,0.17777777777777778,0.2716370250470986,-0.21118861472961648,-0.21954303467525893,-0.781137601283686,-0.48845140421056443,-0.48845140421056443,-0.02176656850775779,-0.16309331121838913,0.6286552144141488,0.29268619707312155,0.29268619707312155,0.21753177564520065,0.19576520713744286,-0.7593710327759282,-0.37078942944678095,3.5439182074407807,3.5439182074407807,-0.02127952101820268,1.4931057459119401
8,325,0.1818181818181818,0.4545454545454545,0.5454545454545454,0.04545454545454545,0.2727272727272727,0.3636363636363636,0.3636363636363636,0.4772727272727272,0.6136363636363636,0.13636363636363635,0.18181818181818177,0.2789829413107732,-0.2571197216128752,-0.222779294631478,-0.9017575653283828,-0.6748089626910236,-0.6748089626910236,0.05322315962703054,-0.1467853414549283,0.524111755562235,0.22694860263735914,0.22694860263735914,0.3946372004266339,0.4478603600536645,-0.9549807249554133,-0.47588824443776495,3.888489747175674,3.888489747175674,-0.02585213806807253,0.9662547777646455
9,369,0.1739130434782609,0.43478260869565216,0.5000000000000001,0.04347826086956522,0.26086956521739135,0.3478260869565218,0.3478260869565218,0.4565217391304348,0.5434782608695653,0.13043478260869568,0.17391304347826084,0.2554334782579164,-0.29311089195930173,-0.2938857092055601,-0.9028561294090017,-0.6604128711883743,-0.6604128711883743,-0.005264285315097204,-0.08817488251104194,0.5472339663920074,0.24244325822062746,0.24244325822062746,0.423233898282844,0.4179696129677468,-0.8975918440939046,-0.45276603360799267,3.3876326227230598,3.3876326227230598,-0.02786028794086909,-0.5114989265967409
10,415,0.1590909090909091,0.43181818181818177,0.5454545454545454,0.022727272727272724,0.24999999999999997,0.3409090909090909,0.3409090909090909,0.4545454545454545,0.5454545454545454,0.13333333333333333,0.17777777777777778,0.26506889277426904,-0.184499731253331,-0.25648060659461847,-0.8140343448778852,-0.6278134588856085,-0.6278134588856085,-0.061788871895502674,-0.13408273601240378,0.7867240377356334,0.18622088599227676,0.18622088599227676,0.5033814447888344,0.44159257289333165,-0.7522454729823825,-0.2130509922512366,1.454812063957919,1.454812063957919,-0.021650042320693706,4.681930807128677
