Index of pulse,TimeStamp,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
1,0,0.21666666666666667,0.4166666666666667,0.48333333333333334,0.1,0.2833333333333333,0.35,0.35,0.45,0.5333333333333333,0.06666666666666665,0.06666666666666665,0.35,0.4666666666666667,0.13333333333333333,0.016666666666666666
2,53,0.11666666666666667,0.31666666666666665,0.36666666666666664,0.016666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4166666666666667,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.4,0.1,-0.03333333333333333
3,100,0.11666666666666667,0.3,0.38333333333333336,0.016666666666666666,0.18333333333333332,0.25,0.25,0.31666666666666665,0.4166666666666667,0.06666666666666668,0.06666666666666668,0.25,0.36666666666666664,0.13333333333333333,0.016666666666666666
4,144,0.13333333333333333,0.31666666666666665,0.36666666666666664,0.016666666666666666,0.2,0.25,0.25,0.3333333333333333,0.43333333333333335,0.04999999999999999,0.04999999999999999,0.25,0.38333333333333336,0.11666666666666667,-0.016666666666666666
5,190,0.13333333333333333,0.3333333333333333,0.45,0.016666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.35,0.45,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.38333333333333336,0.2833333333333333,0.16666666666666666
6,235,0.11666666666666667,0.3333333333333333,0.38333333333333336,0.016666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.35,0.38333333333333336,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.36666666666666664,0.2833333333333333,0.18333333333333332
7,280,0.11666666666666667,0.31666666666666665,0.35,0.016666666666666666,0.18333333333333332,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4166666666666667,0.08333333333333334,0.08333333333333334,0.26666666666666666,0.38333333333333336,0.08333333333333333,-0.03333333333333333
8,325,0.13333333333333333,0.3333333333333333,0.4,0.03333333333333333,0.2,0.26666666666666666,0.26666666666666666,0.35,0.45,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.4,0.13333333333333333,0.0
9,369,0.13333333333333333,0.3333333333333333,0.38333333333333336,0.03333333333333333,0.2,0.26666666666666666,0.26666666666666666,0.35,0.4166666666666667,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.38333333333333336,0.11666666666666667,0.0
10,415,0.11666666666666667,0.31666666666666665,0.4,0.016666666666666666,0.18333333333333332,0.25,0.25,0.3333333333333333,0.4,0.06666666666666668,0.06666666666666668,0.25,0.35,0.31666666666666665,0.21666666666666667
11,460,0.11666666666666667,0.31666666666666665,0.38333333333333336,0.016666666666666666,0.18333333333333332,0.25,0.25,0.3333333333333333,0.43333333333333335,0.06666666666666668,0.06666666666666668,0.25,0.36666666666666664,0.13333333333333333,0.016666666666666666
12,505,0.13333333333333333,0.3333333333333333,0.38333333333333336,0.016666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.35,0.45,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.38333333333333336,0.11666666666666667,0.0
13,550,0.13333333333333333,0.35,0.4,0.016666666666666666,0.2,0.25,0.25,0.36666666666666664,0.4,0.04999999999999999,0.04999999999999999,0.25,0.38333333333333336,,
14,596,0.11666666666666667,0.31666666666666665,0.38333333333333336,0.016666666666666666,0.18333333333333332,0.25,0.25,0.3333333333333333,0.45,0.06666666666666668,0.06666666666666668,0.25,0.38333333333333336,0.13333333333333333,0.0
15,644,0.13333333333333333,0.3333333333333333,0.38333333333333336,0.016666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.35,0.4666666666666667,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.4166666666666667,0.11666666666666667,-0.03333333333333333
16,694,0.13333333333333333,0.3333333333333333,0.38333333333333336,0.03333333333333333,0.2,0.2833333333333333,0.2833333333333333,0.35,0.4666666666666667,0.08333333333333331,0.08333333333333331,0.2833333333333333,0.4166666666666667,0.1,-0.03333333333333333
17,744,0.13333333333333333,0.31666666666666665,0.36666666666666664,0.016666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.45,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.38333333333333336,0.1,-0.016666666666666666
18,791,0.13333333333333333,0.35,0.43333333333333335,0.03333333333333333,0.2,0.2833333333333333,0.2833333333333333,0.36666666666666664,0.43333333333333335,0.08333333333333331,0.08333333333333331,0.2833333333333333,0.4166666666666667,,
19,840,0.13333333333333333,0.35,0.38333333333333336,0.016666666666666666,0.2,0.2833333333333333,0.2833333333333333,0.36666666666666664,0.4666666666666667,0.08333333333333331,0.08333333333333331,0.2833333333333333,0.4166666666666667,0.1,-0.03333333333333333
20,890,0.13333333333333333,0.3333333333333333,0.38333333333333336,0.03333333333333333,0.2,0.26666666666666666,0.26666666666666666,0.35,0.4666666666666667,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.4166666666666667,0.11666666666666667,-0.03333333333333333
21,942,0.13333333333333333,0.31666666666666665,0.4,0.016666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.45,0.06666666666666665,0.06666666666666665,0.26666666666666666,0.38333333333333336,0.13333333333333333,0.016666666666666666
