Index of pulse,TimeStamp,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
1,0,0.8833333333333333,0.7999999999999999,0.4666666666666667,0.39999999999999997,0.35,0.48333333333333334,0.13333333333333336,0.1333333333333333,0.1333333333333333,0.11666666666666664,0.09999999999999998,0.08333333333333331,0.08333333333333331,0.04999999999999999,0.4666666666666667,0.41666666666666674,0.3666666666666667,0.2833333333333333,0.21666666666666667,0.16666666666666674,0.06666666666666671,0.6,0.55,0.48333333333333334,0.3833333333333333,0.3,0.25000000000000006,0.1166666666666667,1.0072416221808218,0.6105397712728164,0.5477845173770788,-1.2662283114162451,-2.889810999520207,-1.640997089201878,-1.248813910318329
2,53,0.7833333333333334,0.75,0.55,0.4166666666666668,0.2666666666666666,0.36666666666666664,0.10000000000000003,0.21666666666666656,0.18333333333333324,0.16666666666666663,0.1333333333333333,0.11666666666666647,0.09999999999999987,0.06666666666666665,0.4500000000000002,0.40000000000000013,0.3500000000000001,0.28333333333333344,0.2333333333333334,0.20000000000000018,0.10000000000000009,0.6666666666666667,0.5833333333333334,0.5166666666666667,0.41666666666666674,0.34999999999999987,0.30000000000000004,0.16666666666666674,2.098168477484227,1.3005474449074557,1.9463375953449207,0.4908416580419709,8.287633184426301,2.506884233546649,5.780748950879652
3,100,0.7333333333333332,0.7666666666666666,0.35,0.3499999999999998,0.23333333333333317,0.38333333333333336,0.1500000000000002,0.18333333333333335,0.1499999999999999,0.1499999999999999,0.11666666666666647,0.09999999999999987,0.08333333333333326,0.04999999999999982,0.4500000000000002,0.3833333333333333,0.3666666666666667,0.30000000000000027,0.2333333333333334,0.16666666666666696,0.08333333333333348,0.6333333333333335,0.5333333333333332,0.5166666666666666,0.41666666666666674,0.33333333333333326,0.2500000000000002,0.1333333333333333,1.6312848642663784,1.303356655934929,1.2100059801987102,-0.3206629007762206,2.42923802895928,1.5247578259039858,0.9044802030552943
4,144,0.7666666666666666,0.7666666666666666,0.35,0.39999999999999997,0.2666666666666666,0.36666666666666664,0.10000000000000003,0.19999999999999973,0.18333333333333313,0.16666666666666652,0.1333333333333333,0.1166666666666667,0.09999999999999964,0.06666666666666643,0.4500000000000002,0.3833333333333333,0.3500000000000001,0.28333333333333366,0.21666666666666679,0.18333333333333357,0.08333333333333348,0.6499999999999999,0.5666666666666664,0.5166666666666666,0.41666666666666696,0.3333333333333335,0.2833333333333332,0.1499999999999999,2.0207724902816855,1.8421322564313978,1.7997196178528858,0.11666910242942485,-14.326048091200258,-4.68309889189524,-9.642949199305018
5,190,0.75,0.7500000000000004,0.55,0.19999999999999996,0.2666666666666666,0.55,0.28333333333333344,0.19999999999999973,0.16666666666666652,0.16666666666666652,0.1333333333333333,0.09999999999999964,0.09999999999999964,0.06666666666666643,0.41666666666666696,0.3666666666666667,0.3333333333333335,0.28333333333333366,0.21666666666666679,0.16666666666666696,0.08333333333333348,0.6166666666666667,0.5333333333333332,0.5,0.41666666666666696,0.31666666666666643,0.2666666666666666,0.1499999999999999,1.9058129690854535,0.9012168780404359,0.9012168780404359,-0.02852476457311548,0.10262844557885624,1.6547867074600888,-1.5521582618812326
6,235,0.7500000000000004,0.7333333333333334,0.5,0.2000000000000004,0.26666666666666705,0.55,0.283333333333333,0.21666666666666679,0.18333333333333357,0.16666666666666696,0.13333333333333375,0.11666666666666714,0.10000000000000053,0.06666666666666732,0.4333333333333327,0.38333333333333286,0.34999999999999964,0.2833333333333332,0.21666666666666679,0.18333333333333268,0.09999999999999964,0.6499999999999995,0.5666666666666664,0.5166666666666666,0.41666666666666696,0.3333333333333339,0.2833333333333332,0.16666666666666696,1.8313741457325268,1.1386632193973925,0.928233875806018,0.022727535011044298,-4.008197712665266,-0.16882954107360695,-3.8393681715916594
7,280,0.75,0.7666666666666666,0.55,0.4,0.25,0.35,0.09999999999999998,0.20000000000000018,0.16666666666666696,0.15000000000000036,0.13333333333333375,0.10000000000000053,0.08333333333333393,0.05000000000000071,0.4499999999999993,0.38333333333333286,0.34999999999999964,0.2833333333333332,0.21666666666666679,0.18333333333333268,0.09999999999999964,0.6499999999999995,0.5499999999999998,0.5,0.41666666666666696,0.3166666666666673,0.2666666666666666,0.15000000000000036,1.852692940915806,0.8640115648920839,1.6650038472817157,0.051078660756785466,-10.58857555142007,-3.551357568639934,-7.037217982780135
8,325,0.7333333333333334,0.7333333333333334,0.36666666666666664,0.33333333333333337,0.2666666666666666,0.4,0.13333333333333341,0.20000000000000018,0.16666666666666696,0.15000000000000036,0.13333333333333375,0.10000000000000053,0.10000000000000053,0.06666666666666732,0.4166666666666661,0.36666666666666625,0.33333333333333304,0.2833333333333332,0.21666666666666679,0.16666666666666607,0.08333333333333304,0.6166666666666663,0.5333333333333332,0.4833333333333334,0.41666666666666696,0.3166666666666673,0.2666666666666666,0.15000000000000036,1.7488134545409517,1.5059397701966646,1.4177570874949057,0.04611319853177309,-14.434275839068736,-5.4653265720040345,-8.968949267064701
9,369,0.7666666666666666,0.7666666666666666,0.55,0.38333333333333325,0.2666666666666666,0.38333333333333336,0.11666666666666675,0.20000000000000018,0.16666666666666696,0.16666666666666696,0.13333333333333375,0.11666666666666714,0.10000000000000053,0.06666666666666732,0.4333333333333327,0.36666666666666625,0.33333333333333304,0.2666666666666666,0.1999999999999993,0.14999999999999947,0.06666666666666643,0.6333333333333329,0.5333333333333332,0.5,0.40000000000000036,0.31666666666666643,0.25,0.13333333333333375,1.7777775683753148,0.7214913788121573,1.4288139391964936,-0.15103484433995673,4.551067612809688,3.961191031089196,0.5898765817204921
10,415,0.75,0.7333333333333334,0.5166666666666667,0.18333333333333335,0.2666666666666666,0.5666666666666667,0.30000000000000004,0.21666666666666679,0.18333333333333357,0.16666666666666696,0.15000000000000036,0.11666666666666714,0.10000000000000053,0.06666666666666732,0.4333333333333327,0.38333333333333286,0.34999999999999964,0.2833333333333332,0.21666666666666679,0.18333333333333268,0.09999999999999964,0.6499999999999995,0.5666666666666664,0.5166666666666666,0.43333333333333357,0.3333333333333339,0.2833333333333332,0.16666666666666696,1.9536845779845105,1.1362024700254822,0.9096427374011364,0.025987676935503856,-5.5836036347470674,-0.884917581338696,-4.698686053408371
