Index of pulse,TimeStamp,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
1,1,1.1666666666666667,1.142857142857143,1.5000000000000002,1.0476190476190477,1.2380952380952381,1.3095238095238095,1.3095238095238095,1.4047619047619049,1.5714285714285716,0.06578947368421055,-0.052631578947368404,0.5775476803182877,0.9252689339001833,0.18182413150976925,-0.6930531811915558,-0.5581162529471995,-0.5581162529471995,0.29209958065450714,-0.7362899312943952,0.8239910947656269,0.1349369282443563,0.1349369282443563,0.131079744048336,0.42317932470284314,-0.9851527618460629,-0.17600890523437304,,,-0.004516501972743982,-0.4854520436993541
2,77,0.04819277108433735,0.3132530120481928,0.7831325301204819,0.3614457831325301,0.4578313253012048,,,0.3614457831325301,,-0.2795698924731183,-0.1290322580645161,1.2128040875445163,-0.9654137018798873,0.7103866887000498,-0.5482049355669585,,,1.0,,,,,,,-1.5482049355669585,,,,-0.005860511651123124,
3,170,0.15625000000000003,0.4375000000000001,0.6250000000000001,0.0,0.28125000000000006,0.3750000000000001,0.3750000000000001,0.5312500000000001,0.7187500000000002,0.15625000000000003,0.15625000000000006,0.31475002826785614,-0.3759520349978831,-0.12276924776835546,-0.8804309260838219,-0.6708449423889562,-0.6708449423889562,0.27262100889321533,-0.3632086054933261,0.25615762319006596,0.2095859836948657,0.2095859836948657,0.1886379498008752,0.4612589586940905,-1.1530519349770372,-0.7318172747085421,5.773186474601959,5.773186474601959,-0.023871024996419684,2.224929789150429
4,202,0.12820512820512814,0.3589743589743588,0.5384615384615381,0.0,0.23076923076923064,0.33333333333333315,0.33333333333333315,0.4615384615384613,0.6666666666666663,0.13513513513513511,0.13513513513513514,0.5093144272699528,-0.3557774813111119,0.15042882681765982,-0.761407458076457,-0.37997787536769356,-0.37997787536769356,0.38321290418374854,-0.5478646294273386,0.1807978154984792,0.3814295827087635,0.3814295827087635,-0.38466461152481846,-0.001451707341069876,-1.1446203622602056,-0.7070458327937872,18.662380083437213,18.662380083437213,-0.014783693481777115,0.5345182257553867
5,239,0.15000000000000013,0.40000000000000036,0.6000000000000005,0.0,0.2500000000000002,0.3500000000000003,0.3500000000000003,0.5000000000000004,0.7500000000000007,0.1463414634146341,0.1463414634146341,0.3845416005279121,-0.3455036594082202,0.015467426960806817,-0.782218904302835,-0.4592807829556765,-0.4592807829556765,0.27552102463849987,-0.3409986462776823,0.10583861972067442,0.3229381213471585,0.3229381213471585,-0.1391783630299819,0.13634266160851796,-1.057739928941335,-0.8424489296208154,21.16861555634444,21.16861555634444,-0.012872384426910093,0.4748051303092509
6,280,0.1249999999999999,0.3124999999999997,0.4791666666666663,-0.020833333333333315,0.20833333333333315,0.2916666666666664,0.2916666666666664,0.395833333333333,0.5624999999999996,0.1842105263157896,0.13157894736842116,0.37170369404360815,-0.3891525389956421,0.14718624748842252,-1.5985910680134667,-0.8464206164743008,-0.8464206164743008,0.8112304416834277,-0.8693236402455455,0.18447275894838838,0.752170451539166,0.752170451539166,-0.7169802767482929,0.09425016493513488,-2.4098215096968945,-0.7168635069645882,13.65957104160372,13.65957104160372,-0.015456713528441312,0.03940448580588829
7,318,0.6315789473684211,0.7105263157894738,0.8026315789473684,0.5526315789473684,0.6578947368421053,,,0.5526315789473684,,0.06896551724137936,0.04597701149425286,0.5406099558043669,-0.008357932882846763,0.53183851679387,-0.453788758751422,,,1.0,,,,,,,-1.453788758751422,,,,-0.003155571372361307,
8,405,0.09090909090909097,0.27272727272727293,0.4181818181818185,-0.018181818181818195,0.16363636363636375,0.21818181818181834,0.21818181818181834,0.3454545454545457,0.5090909090909095,0.15789473684210514,0.15789473684210517,0.38781085270353816,-0.37852204457117333,-0.05361939236294474,-0.9049910267595673,-0.6517602588087946,-0.6517602588087946,0.2632778517036062,-0.5452846487875911,-0.1321729103071322,0.25323076795077265,0.25323076795077265,0.1352516391544158,0.398529490858022,-1.1682688784631734,-1.1152185952134646,-12.201089932587173,-12.201089932587173,-0.007258588573103797,0.31544262714480753
9,443,0.08333333333333333,0.55,0.7333333333333333,0.26666666666666666,0.4166666666666667,0.48333333333333334,0.48333333333333334,0.6333333333333333,0.7333333333333333,-0.14473684210526316,0.10526315789473686,0.24653461779991687,-0.4817864296222192,-0.17872195787801365,-1.084843042343066,-0.8526840772717833,-0.8526840772717833,0.2315768633062814,0.1983790730590993,-0.2526243383708857,0.23215896507128264,0.23215896507128264,0.38894824889421925,0.6205251122005007,-1.3164199056493473,-1.2183767629751763,-6.945653885945786,-6.945653885945786,-0.0041189350935236,0.14410473148190805
10,519,0.10909090909090896,0.25454545454545424,0.3818181818181813,0.0,0.18181818181818157,0.25454545454545424,0.25454545454545424,0.3272727272727268,0.4727272727272721,0.1578947368421054,0.10526315789473695,0.6239558537440495,-0.3229662886266842,0.2793499133413587,-0.9877207928040466,-0.4400693843762931,-0.4400693843762931,0.64129294232375,-1.4895953163762257,0.6266357972458348,0.5476514084277535,0.5476514084277535,-0.7488749663752103,-0.10758202405146033,-1.6290137351277967,-0.2842153759491852,9.091448362955495,9.091448362955495,-0.0036359798512306044,0.5740589091243644
11,557,0.07352941176470591,0.48529411764705904,0.6176470588235297,0.2500000000000001,0.39705882352941196,0.47058823529411786,0.47058823529411786,0.5441176470588238,0.6764705882352945,-0.13636363636363635,0.0681818181818182,0.15687734316546184,-0.592519485451364,-0.2049405630861021,-1.275495330654682,-0.6211132779712109,-0.6211132779712109,0.45054906877740514,-0.43051687250956594,0.1576012494150712,0.654382052683471,0.654382052683471,-0.48381784348966533,-0.03326877471226022,-1.726044399432087,-0.715010952592817,11.630957645178523,11.630957645178523,-0.004574918995584757,0.8598169244444024
12,645,0.8382352941176474,,,0.23529411764705893,0.3676470588235296,,,0.23529411764705893,,0.5942028985507245,,3.6401624556082477,,,-0.9803875081310145,,,1.0,,,,,,,-1.9803875081310145,,,,-0.0028595420964018944,
13,714,0.1736111111111111,0.3333333333333333,0.39583333333333326,0.12499999999999997,0.19444444444444442,0.24305555555555552,0.29861111111111105,0.36111111111111105,0.42361111111111105,0.054263565891472874,0.15503875968992248,-4.2974565873338655,-1.1556310489253674,0.46950150639936744,-0.6492425628405224,0.16490986143473604,-0.9041944381167512,1.043520400555089,-0.6102340149380223,1.3836087820849534,0.8141524242752584,-0.2549518752762288,-0.9534783867135963,0.09004201384149277,-1.6927629633956114,-4.5620032679518046,1.6206321758980198,1.6206321758980198,-0.0033776859276471935,6.915557050381129
