Index of pulse,TimeStamp,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
1,1,1.2666666666666668,0.7,1.0,,0.9166666666666666,,,0.06666666666666665,0.33333333333333337,0.9,0.8833333333333333,0.8666666666666667,0.033333333333333326,0.01666666666666672,0.31666666666666665,0.2833333333333332,0.2833333333333332,0.2666666666666666,0.25,0.2333333333333334,0.08333333333333326,0.3833333333333333,0.6166666666666666,1.1833333333333331,1.15,1.1166666666666667,0.2666666666666667,0.09999999999999998,0.10335455509099375,0.06520589163930757,,-0.2968085297003369,-3.4168698348847877,-3.1854049062387424,-0.2314649286460453
2,77,1.55,1.3833333333333333,0.5166666666666667,0.8500000000000001,0.34999999999999987,0.7,0.3500000000000001,0.31666666666666665,0.30000000000000004,0.30000000000000004,0.2833333333333332,0.2666666666666666,0.25,0.06666666666666665,1.1666666666666665,1.15,0.18333333333333335,1.1166666666666667,0.08333333333333326,0.9666666666666668,0.8333333333333335,1.4833333333333332,1.45,0.4833333333333334,1.4,0.34999999999999987,1.2166666666666668,0.9000000000000001,0.35244888768484756,0.012151363690588779,0.3694371153721925,-0.13482130133696868,-0.9364337335028541,-0.7471787172450529,-0.18925501625780117
3,170,0.5333333333333332,0.5333333333333332,0.3,0.18333333333333324,0.18333333333333313,0.35,0.16666666666666685,0.1499999999999999,0.1166666666666667,0.1166666666666667,0.10000000000000009,0.06666666666666643,0.06666666666666643,0.033333333333333215,0.3166666666666669,0.2833333333333332,0.2666666666666666,0.2333333333333334,0.1499999999999999,0.10000000000000009,0.050000000000000266,0.4666666666666668,0.3999999999999999,0.3833333333333333,0.3333333333333335,0.21666666666666634,0.16666666666666652,0.08333333333333348,0.7973478860043168,0.5673690559406758,0.5181856650439347,0.024734489897435485,-6.208022425617675,-1.5935270526190366,-4.614495372998638
4,202,0.6166666666666667,0.6500000000000004,0.31666666666666665,0.2,0.18333333333333313,0.4166666666666667,0.23333333333333356,0.1499999999999999,0.1166666666666667,0.1166666666666667,0.09999999999999964,0.06666666666666643,0.06666666666666643,0.033333333333333215,0.40000000000000036,0.3666666666666667,0.3500000000000001,0.3333333333333335,0.30000000000000027,0.1333333333333333,0.06666666666666687,0.5500000000000003,0.4833333333333334,0.4666666666666668,0.4333333333333331,0.3666666666666667,0.19999999999999973,0.10000000000000009,0.58127590554573,0.41552973596287324,0.4799807028699342,-0.08871383671591121,4.725482555943104,2.4682643924795906,2.257218163463514
5,239,0.6833333333333336,0.6666666666666661,0.4,0.23333333333333356,0.21666666666666679,0.45,0.23333333333333323,0.18333333333333357,0.15000000000000036,0.13333333333333375,0.11666666666666714,0.10000000000000053,0.08333333333333393,0.04999999999999982,0.4166666666666661,0.38333333333333286,0.36666666666666625,0.33333333333333304,0.20000000000000018,0.09999999999999964,0.04999999999999982,0.5999999999999996,0.5333333333333332,0.5,0.4500000000000002,0.3000000000000007,0.18333333333333357,0.09999999999999964,0.7602020926824994,0.5306019165264645,0.5383413723851873,0.09321499555537599,13.471313568026986,6.965209495417958,6.506104072609028
6,280,0.6333333333333329,0.8000000000000007,0.35,0.18333333333333285,0.1999999999999993,0.45,0.2500000000000007,0.16666666666666607,0.13333333333333286,0.13333333333333286,0.09999999999999964,0.08333333333333304,0.06666666666666643,0.04999999999999982,0.38333333333333375,0.35000000000000053,0.3333333333333339,0.3166666666666673,0.21666666666666679,0.08333333333333393,0.05000000000000071,0.5499999999999998,0.4833333333333334,0.4666666666666668,0.41666666666666696,0.2999999999999998,0.15000000000000036,0.10000000000000053,0.6295508863670563,0.4329656736631004,0.48196595850377155,0.17304153196596928,9.390365316122372,4.979446558839572,4.4109187572828
7,318,1.4500000000000002,1.2666666666666666,0.7166666666666667,0.5500000000000002,0.36666666666666714,0.9,0.5333333333333329,0.3333333333333339,0.2833333333333332,0.2666666666666666,0.16666666666666696,0.11666666666666714,0.08333333333333393,0.05000000000000071,0.31666666666666643,0.4499999999999993,0.4666666666666668,0.6166666666666663,0.6666666666666661,0.6999999999999993,0.06666666666666643,0.6500000000000004,0.7333333333333325,0.7333333333333334,0.7833333333333332,0.7833333333333332,0.7833333333333332,0.11666666666666714,0.2878019854361545,0.007075848780671579,0.15774750891893025,0.03617479303311438,13.012023342054079,6.195437096414942,6.816586245639137
8,405,0.6333333333333337,0.9166666666666661,0.31666666666666665,0.23333333333333373,0.18333333333333357,0.4,0.21666666666666645,0.15000000000000036,0.13333333333333375,0.11666666666666714,0.10000000000000053,0.08333333333333393,0.06666666666666732,0.033333333333333215,0.4166666666666661,0.38333333333333286,0.36666666666666625,0.33333333333333304,0.2666666666666666,0.13333333333333286,0.06666666666666643,0.5666666666666664,0.5166666666666666,0.4833333333333334,0.43333333333333357,0.35000000000000053,0.20000000000000018,0.09999999999999964,0.3207005986891249,0.21508132861217932,0.1873817029089494,-0.12099948558637325,7.552556487148059,3.8392361769472267,3.713320310200832
9,443,1.2666666666666666,1.0,0.6666666666666666,0.43333333333333324,0.4666666666666659,0.8333333333333334,0.3666666666666675,0.4166666666666661,0.38333333333333286,0.36666666666666625,0.2166666666666659,0.13333333333333286,0.11666666666666625,0.06666666666666643,0.7333333333333343,0.25,0.5,0.15000000000000036,0.11666666666666714,0.10000000000000053,0.05000000000000071,1.1500000000000004,0.6333333333333329,0.8666666666666663,0.36666666666666625,0.25,0.21666666666666679,0.11666666666666714,0.4673782747740418,0.3006970852960773,0.2451446252184293,0.20482616481160393,8.53659314937367,4.27516075408187,4.2614323952918
10,519,0.6333333333333329,0.9166666666666679,0.31666666666666665,0.21666666666666617,0.1999999999999993,0.4166666666666667,0.2166666666666674,0.16666666666666607,0.13333333333333286,0.11666666666666714,0.09999999999999964,0.08333333333333215,0.06666666666666643,0.049999999999998934,0.38333333333333286,0.36666666666666714,0.34999999999999964,0.3333333333333339,0.3000000000000007,0.2833333333333332,0.13333333333333286,0.5499999999999989,0.5,0.4666666666666668,0.43333333333333357,0.38333333333333286,0.34999999999999964,0.1833333333333318,0.1512195784550059,0.11532600482164633,0.14010599580134048,-0.17920487958881515,8.477223864591329,4.2088797878200115,4.268344076771317
