Index of pulse,on,sp,dn,dp,off,u,v,w,a,b,c,d,e,f,p1,p2
1,0,15,21,24,56,9,18,24,3,12,16,16,20,28,16,23
2,56,82,91,,117,64,88,105,57,67,75,82,101,108,71,78
3,117,142,151,,175,123,148,162,117,127,135,142,159,166,130,138
4,175,202,212,216,229,182,208,215,176,186,194,202,212,220,189,198
5,229,255,264,,280,236,260,267,229,239,247,255,263,271,243,251
6,280,296,316,301,334,286,297,301,280,290,294,294,299,306,294,302
7,334,360,375,377,391,341,369,376,334,344,352,359,374,382,348,355
8,391,407,411,413,447,398,409,413,392,401,405,405,410,417,405,413
9,447,477,501,486,528,455,482,486,448,458,466,475,483,491,462,470
10,528,546,581,592,623,536,554,565,529,540,550,550,559,565,544,550
11,623,639,678,691,739,684,693,688,624,634,642,649,679,688,638,645
12,739,749,756,760,858,744,752,759,738,747,751,751,755,762,751,758
13,858,870,877,884,917,863,872,879,857,866,870,870,875,883,870,879
14,917,933,938,942,999,925,936,942,917,928,933,933,937,944,933,940
15,999,1008,1016,1020,1031,1005,1013,1019,1001,1009,1012,1012,1016,1023,1012,1019
