Index of pulse,on,sp,dn,dp,off,u,v,w,a,b,c,d,e,f,p1,p2
1,1,56,61,,77,50,49,64,45,53,56,56,60,67,56,64
2,77,98,108,119,170,81,103,142,107,115,,,107,,118,
3,170,181,188,191,202,175,184,190,170,179,182,182,187,193,182,190
4,202,213,221,227,239,207,216,223,202,211,215,215,220,228,215,224
5,239,252,263,266,280,245,255,263,239,249,253,253,259,269,253,263
6,280,292,301,307,318,286,295,303,279,290,294,294,299,307,294,303
7,318,340,361,372,405,366,372,379,360,368,,,360,,372,
8,405,416,424,429,443,410,420,428,404,414,417,417,424,433,417,429
9,443,471,483,493,519,448,476,487,459,468,472,472,481,487,472,484
10,519,531,538,544,557,525,533,540,519,529,533,533,537,545,533,542
11,557,586,596,600,645,562,590,599,574,584,589,589,594,603,589,599
12,645,654,662,672,714,702,,,661,670,,,661,,674,
13,714,722,733,756,843,739,762,771,732,742,749,757,766,775,746,753
14,843,866,877,,895,883,,,857,867,873,873,877,887,873,882
15,895,904,914,925,981,953,,,913,922,,,913,,925,
16,981,991,1000,1007,1032,986,995,1003,980,989,994,994,998,1006,994,1002
