Index of pulse,on,sp,dn,dp,off,u,v,w,a,b,c,d,e,f,p1,p2
1,0,19,26,31,47,12,23,30,5,15,19,19,25,38,19,29
2,47,61,69,72,88,54,64,71,48,57,61,61,67,78,61,69
3,88,102,110,113,129,95,105,112,89,99,103,103,108,119,103,112
4,129,143,151,155,169,136,147,154,130,140,145,145,150,160,145,156
5,169,181,192,195,208,175,184,192,169,179,183,183,188,198,183,192
6,208,222,230,234,247,215,225,233,209,219,223,223,229,237,223,233
7,247,260,267,271,289,253,263,270,247,257,261,261,266,273,261,269
8,289,302,310,313,332,295,305,312,290,299,303,303,308,315,303,311
9,332,345,355,358,372,339,348,355,333,342,346,346,351,361,346,356
10,372,387,390,392,413,378,388,392,372,382,385,385,389,396,385,392
11,413,426,435,437,453,419,430,436,413,423,427,427,433,443,427,436
12,453,466,475,480,494,460,470,479,454,464,468,468,474,484,468,479
13,494,506,515,517,533,500,510,516,494,504,508,508,513,521,508,516
14,533,546,557,562,572,540,550,559,533,544,549,549,554,563,549,559
15,572,584,593,598,609,578,587,595,572,582,586,586,591,599,586,595
16,609,622,631,635,646,616,626,634,609,620,625,625,630,638,625,634
17,646,659,667,670,683,653,662,669,647,656,661,661,665,673,661,669
18,683,696,704,707,719,689,699,706,683,693,698,698,702,710,698,706
19,719,731,740,744,756,725,735,743,719,729,734,734,738,747,734,743
20,756,769,778,782,795,763,773,781,757,767,771,771,776,785,771,781
21,795,808,818,822,834,802,811,819,795,806,810,810,815,824,810,819
22,834,847,855,862,874,840,850,861,834,844,848,848,854,866,848,855
23,874,886,894,897,920,881,889,896,875,884,888,888,892,899,888,896
24,920,931,941,945,957,926,934,942,920,929,933,933,938,947,933,942
25,957,970,979,983,1015,964,976,983,957,968,973,973,978,987,973,982
