Index of pulse,on,sp,dn,dp,off,u,v,w,a,b,c,d,e,f,p1,p2
1,1,49,57,,87,42,52,76,34,45,55,63,71,79,50,59
2,87,100,109,112,138,93,102,109,88,97,101,101,106,112,101,109
3,138,150,158,165,191,143,152,160,137,146,151,151,156,164,151,160
4,191,201,209,212,224,196,204,211,190,199,203,203,207,214,203,210
5,224,244,263,253,291,239,248,253,235,241,245,245,249,256,245,253
6,291,305,318,324,340,298,308,320,293,302,306,306,312,328,306,314
7,340,354,362,367,392,346,357,364,339,350,355,355,360,367,355,363
8,392,405,414,420,461,398,408,417,392,401,405,405,411,423,405,416
9,461,480,491,502,588,496,504,499,473,481,485,485,490,499,485,494
10,588,611,646,674,699,667,,,602,610,617,624,645,654,614,620
11,699,730,791,803,889,860,,,718,720,721,780,790,799,720,776
12,889,925,940,973,1034,894,933,944,905,914,918,926,937,946,916,922
