Index of pulse,on,sp,dn,dp,off,u,v,w,a,b,c,d,e,f,p1,p2
1,0,21,28,29,53,13,25,29,6,17,21,21,27,32,21,28
2,53,69,86,75,100,60,72,75,54,65,69,69,73,78,69,77
3,100,114,121,123,144,107,118,123,101,111,115,115,119,125,115,122
4,144,160,165,166,190,152,163,166,145,156,159,159,164,170,159,167
5,190,206,223,223,235,198,210,217,191,202,206,206,211,217,206,213
6,235,251,265,268,280,242,255,258,236,247,251,251,256,258,251,257
7,280,295,313,301,325,287,299,301,281,291,296,296,300,305,296,303
8,325,341,347,349,369,333,345,349,327,337,341,341,346,352,341,349
9,369,385,402,392,415,377,389,392,371,381,385,385,390,394,385,392
10,415,431,446,449,460,422,434,439,416,426,430,430,435,439,430,436
11,460,475,481,483,505,467,479,483,461,471,475,475,480,486,475,482
12,505,521,527,528,550,513,525,528,506,517,521,521,526,532,521,528
13,550,566,582,,596,558,571,574,551,562,565,565,572,574,565,573
14,596,611,630,619,644,603,615,619,597,607,611,611,616,623,611,619
15,644,660,680,667,694,652,664,667,645,656,660,660,665,672,660,669
16,694,711,729,717,744,702,714,717,696,706,711,711,715,722,711,719
17,744,760,779,766,791,752,763,766,745,756,760,760,764,771,760,767
18,791,808,824,,840,799,812,817,793,803,808,808,813,817,808,816
19,840,857,876,863,890,848,861,863,841,852,857,857,862,868,857,865
20,890,907,927,913,942,898,910,913,892,902,906,906,911,918,906,915
21,942,958,963,966,991,950,961,966,943,954,958,958,962,969,958,965
22,991,1008,1026,,1041,999,1012,1020,993,1004,1008,1008,1013,1020,1008,1016
